date,open,high,low,close,volume
2016-04-01 09:15:00+05:30,16099.65,16134.1,16093.3,16115.35,0
2016-04-01 09:20:00+05:30,16115.15,16115.15,16040.35,16068.35,0
2016-04-01 09:25:00+05:30,16066.0,16084.85,16060.0,16080.55,0
2016-04-01 09:30:00+05:30,16079.5,16093.5,16073.5,16076.45,0
2016-04-01 09:35:00+05:30,16075.65,16097.3,16061.6,16096.5,0
2016-04-01 09:40:00+05:30,16095.75,16107.2,16078.9,16084.1,0
2016-04-01 09:45:00+05:30,16085.05,16085.5,16068.25,16080.55,0
2016-04-01 09:50:00+05:30,16079.1,16141.45,16079.1,16138.75,0
2016-04-01 09:55:00+05:30,16140.9,16145.25,16101.6,16111.85,0
2016-04-01 10:00:00+05:30,16111.9,16114.7,16090.85,16095.5,0
2016-04-01 10:05:00+05:30,16095.95,16102.2,16076.95,16079.3,0
2016-04-01 10:10:00+05:30,16080.7,16105.0,16075.65,16101.85,0
2016-04-01 10:15:00+05:30,16104.35,16138.5,16099.65,16117.8,0
2016-04-01 10:20:00+05:30,16118.25,16124.05,16092.95,16095.05,0
2016-04-01 10:25:00+05:30,16095.7,16099.85,16089.85,16093.3,0
2016-04-01 10:30:00+05:30,16092.85,16096.5,16078.5,16088.5,0
2016-04-01 10:35:00+05:30,16087.75,16094.7,16085.05,16088.7,0
2016-04-01 10:40:00+05:30,16087.95,16087.95,16067.5,16080.85,0
2016-04-01 10:45:00+05:30,16081.05,16083.5,16056.1,16072.4,0
2016-04-01 10:50:00+05:30,16074.5,16086.25,16071.25,16085.05,0
2016-04-01 10:55:00+05:30,16085.0,16100.25,16083.05,16097.65,0
2016-04-01 11:00:00+05:30,16098.35,16106.25,16082.1,16097.55,0
2016-04-01 11:05:00+05:30,16099.25,16105.25,16091.2,16092.55,0
2016-04-01 11:10:00+05:30,16093.45,16097.2,16078.35,16079.6,0
2016-04-01 11:15:00+05:30,16079.8,16085.6,16068.65,16069.2,0
2016-04-01 11:20:00+05:30,16070.5,16087.35,16068.1,16080.5,0
2016-04-01 11:25:00+05:30,16082.55,16090.65,16079.55,16080.9,0
2016-04-01 11:30:00+05:30,16080.55,16080.55,16054.55,16054.55,0
2016-04-01 11:35:00+05:30,16055.55,16072.6,16039.25,16043.9,0
2016-04-01 11:40:00+05:30,16043.3,16073.2,16043.3,16067.15,0
2016-04-01 11:45:00+05:30,16067.25,16093.6,16066.3,16088.6,0
2016-04-01 11:50:00+05:30,16088.5,16098.4,16083.45,16097.75,0
2016-04-01 11:55:00+05:30,16097.0,16108.95,16094.05,16096.85,0
2016-04-01 12:00:00+05:30,16094.7,16098.6,16088.25,16093.85,0
2016-04-01 12:05:00+05:30,16094.45,16118.6,16091.35,16115.9,0
2016-04-01 12:10:00+05:30,16115.95,16129.85,16109.65,16122.15,0
2016-04-01 12:15:00+05:30,16122.45,16122.45,16099.95,16104.85,0
2016-04-01 12:20:00+05:30,16105.45,16105.45,16082.35,16085.6,0
2016-04-01 12:25:00+05:30,16084.2,16094.55,16079.3,16089.35,0
2016-04-01 12:30:00+05:30,16091.05,16092.5,16055.15,16059.45,0
2016-04-01 12:35:00+05:30,16065.4,16070.4,16037.15,16045.7,0
2016-04-01 12:40:00+05:30,16047.6,16062.35,16028.05,16054.15,0
2016-04-01 12:45:00+05:30,16057.2,16058.05,16022.95,16040.65,0
2016-04-01 12:50:00+05:30,16038.0,16049.3,16020.6,16028.25,0
2016-04-01 12:55:00+05:30,16028.35,16060.75,16028.35,16045.15,0
2016-04-01 13:00:00+05:30,16047.6,16051.8,16031.4,16046.95,0
2016-04-01 13:05:00+05:30,16045.4,16082.15,16044.7,16081.15,0
2016-04-01 13:10:00+05:30,16082.65,16098.9,16080.85,16092.05,0
2016-04-01 13:15:00+05:30,16093.8,16102.75,16085.65,16100.9,0
2016-04-01 13:20:00+05:30,16099.65,16099.65,16052.9,16054.7,0
2016-04-01 13:25:00+05:30,16055.8,16078.25,16042.6,16069.85,0
2016-04-01 13:30:00+05:30,16068.95,16096.05,16055.2,16092.85,0
2016-04-01 13:35:00+05:30,16092.3,16107.85,16082.15,16093.55,0
2016-04-01 13:40:00+05:30,16094.6,16098.6,16073.9,16083.5,0
2016-04-01 13:45:00+05:30,16086.05,16107.5,16082.6,16086.15,0
2016-04-01 13:50:00+05:30,16084.9,16106.65,16082.5,16099.35,0
2016-04-01 13:55:00+05:30,16099.6,16165.7,16094.5,16151.25,0
2016-04-01 14:00:00+05:30,16148.2,16175.15,16142.4,16160.35,0
2016-04-01 14:05:00+05:30,16162.6,16231.55,16162.15,16228.7,0
2016-04-01 14:10:00+05:30,16230.1,16235.8,16191.9,16208.5,0
2016-04-01 14:15:00+05:30,16208.7,16235.35,16206.65,16231.45,0
2016-04-01 14:20:00+05:30,16231.65,16232.45,16198.7,16199.4,0
2016-04-01 14:25:00+05:30,16199.3,16200.7,16166.5,16183.45,0
2016-04-01 14:30:00+05:30,16185.4,16202.35,16172.55,16196.1,0
2016-04-01 14:35:00+05:30,16198.7,16215.9,16182.5,16201.2,0
2016-04-01 14:40:00+05:30,16202.8,16205.05,16168.65,16175.75,0
2016-04-01 14:45:00+05:30,16177.85,16192.6,16174.1,16178.85,0
2016-04-01 14:50:00+05:30,16179.25,16187.2,16171.25,16171.25,0
2016-04-01 14:55:00+05:30,16169.75,16177.35,16143.05,16154.35,0
2016-04-01 15:00:00+05:30,16155.7,16194.5,16151.65,16193.0,0
2016-04-01 15:05:00+05:30,16198.55,16200.0,16166.5,16169.55,0
2016-04-01 15:10:00+05:30,16166.6,16173.35,16154.45,16171.7,0
2016-04-01 15:15:00+05:30,16171.3,16178.4,16163.85,16177.45,0
2016-04-01 15:20:00+05:30,16176.2,16189.65,16171.75,16181.8,0
2016-04-01 15:25:00+05:30,16182.0,16188.85,16154.5,16174.9,0
2016-04-04 09:15:00+05:30,16236.9,16272.65,16236.55,16265.3,0
2016-04-04 09:20:00+05:30,16268.3,16278.5,16232.55,16233.7,0
2016-04-04 09:25:00+05:30,16233.9,16261.25,16229.7,16234.45,0
2016-04-04 09:30:00+05:30,16236.35,16243.6,16212.1,16226.65,0
2016-04-04 09:35:00+05:30,16227.7,16227.8,16203.75,16207.45,0
2016-04-04 09:40:00+05:30,16207.75,16236.8,16206.9,16236.1,0
2016-04-04 09:45:00+05:30,16236.65,16238.45,16222.75,16224.85,0
2016-04-04 09:50:00+05:30,16224.95,16241.75,16224.5,16229.5,0
2016-04-04 09:55:00+05:30,16229.2,16245.95,16228.55,16234.7,0
2016-04-04 10:00:00+05:30,16234.1,16247.95,16229.05,16241.95,0
2016-04-04 10:05:00+05:30,16241.45,16252.5,16236.65,16248.65,0
2016-04-04 10:10:00+05:30,16248.55,16249.1,16209.15,16214.8,0
2016-04-04 10:15:00+05:30,16214.75,16218.2,16201.55,16202.85,0
2016-04-04 10:20:00+05:30,16203.2,16213.8,16185.4,16185.4,0
2016-04-04 10:25:00+05:30,16184.65,16199.95,16181.3,16185.4,0
2016-04-04 10:30:00+05:30,16185.25,16208.55,16181.1,16206.75,0
2016-04-04 10:35:00+05:30,16207.35,16208.6,16182.9,16186.4,0
2016-04-04 10:40:00+05:30,16187.45,16196.25,16161.6,16171.05,0
2016-04-04 10:45:00+05:30,16169.45,16191.9,16157.65,16182.05,0
2016-04-04 10:50:00+05:30,16181.25,16200.0,16181.25,16187.95,0
2016-04-04 10:55:00+05:30,16188.8,16197.2,16175.6,16188.25,0
2016-04-04 11:00:00+05:30,16189.45,16201.0,16189.45,16192.2,0
2016-04-04 11:05:00+05:30,16192.45,16196.65,16181.4,16184.9,0
2016-04-04 11:10:00+05:30,16185.8,16201.5,16185.5,16197.45,0
2016-04-04 11:15:00+05:30,16193.85,16200.2,16176.25,16185.25,0
2016-04-04 11:20:00+05:30,16184.65,16197.85,16182.2,16191.35,0
2016-04-04 11:25:00+05:30,16191.0,16192.6,16174.75,16178.1,0
2016-04-04 11:30:00+05:30,16180.35,16189.0,16178.55,16183.1,0
2016-04-04 11:35:00+05:30,16182.5,16184.35,16148.4,16160.5,0
2016-04-04 11:40:00+05:30,16161.2,16162.15,16117.5,16120.65,0
2016-04-04 11:45:00+05:30,16118.8,16145.45,16116.65,16139.75,0
2016-04-04 11:50:00+05:30,16139.85,16142.4,16122.7,16133.85,0
2016-04-04 11:55:00+05:30,16134.2,16137.7,16116.45,16117.8,0
2016-04-04 12:00:00+05:30,16117.55,16141.95,16114.5,16138.0,0
2016-04-04 12:05:00+05:30,16137.3,16138.8,16125.6,16128.3,0
2016-04-04 12:10:00+05:30,16127.45,16133.25,16112.8,16113.25,0
2016-04-04 12:15:00+05:30,16117.15,16124.1,16096.3,16098.2,0
2016-04-04 12:20:00+05:30,16100.55,16114.05,16098.4,16111.3,0
2016-04-04 12:25:00+05:30,16111.4,16121.75,16105.95,16110.4,0
2016-04-04 12:30:00+05:30,16113.75,16130.85,16104.4,16109.35,0
2016-04-04 12:35:00+05:30,16110.15,16113.0,16071.6,16077.9,0
2016-04-04 12:40:00+05:30,16079.1,16084.8,16061.5,16062.3,0
2016-04-04 12:45:00+05:30,16062.15,16076.05,16046.5,16066.35,0
2016-04-04 12:50:00+05:30,16067.5,16104.45,16065.6,16100.55,0
2016-04-04 12:55:00+05:30,16103.15,16134.6,16100.25,16113.8,0
2016-04-04 13:00:00+05:30,16114.8,16117.4,16077.35,16084.05,0
2016-04-04 13:05:00+05:30,16085.65,16101.0,16077.1,16089.3,0
2016-04-04 13:10:00+05:30,16089.05,16100.75,16084.15,16096.55,0
2016-04-04 13:15:00+05:30,16101.5,16118.65,16100.2,16111.5,0
2016-04-04 13:20:00+05:30,16111.35,16133.95,16102.0,16126.1,0
2016-04-04 13:25:00+05:30,16126.25,16132.35,16106.15,16110.6,0
2016-04-04 13:30:00+05:30,16110.1,16119.95,16097.9,16104.1,0
2016-04-04 13:35:00+05:30,16103.9,16134.0,16096.25,16133.45,0
2016-04-04 13:40:00+05:30,16132.2,16157.4,16132.2,16144.5,0
2016-04-04 13:45:00+05:30,16145.7,16163.65,16130.5,16162.8,0
2016-04-04 13:50:00+05:30,16162.3,16168.65,16150.75,16157.2,0
2016-04-04 13:55:00+05:30,16155.95,16162.15,16146.1,16157.95,0
2016-04-04 14:00:00+05:30,16158.8,16170.4,16157.7,16167.1,0
2016-04-04 14:05:00+05:30,16168.05,16168.2,16150.0,16156.85,0
2016-04-04 14:10:00+05:30,16156.25,16193.0,16153.9,16184.3,0
2016-04-04 14:15:00+05:30,16185.15,16186.75,16172.45,16178.55,0
2016-04-04 14:20:00+05:30,16179.75,16181.3,16157.7,16176.2,0
2016-04-04 14:25:00+05:30,16175.45,16178.85,16156.85,16159.75,0
2016-04-04 14:30:00+05:30,16159.45,16166.75,16146.7,16163.85,0
2016-04-04 14:35:00+05:30,16164.0,16170.9,16153.65,16170.25,0
2016-04-04 14:40:00+05:30,16168.85,16171.1,16154.15,16165.15,0
2016-04-04 14:45:00+05:30,16165.8,16169.45,16161.75,16165.8,0
2016-04-04 14:50:00+05:30,16166.2,16197.7,16166.2,16178.85,0
2016-04-04 14:55:00+05:30,16179.7,16194.65,16178.85,16181.0,0
2016-04-04 15:00:00+05:30,16181.6,16203.25,16181.6,16189.45,0
2016-04-04 15:05:00+05:30,16187.5,16197.65,16181.65,16183.5,0
2016-04-04 15:10:00+05:30,16184.85,16194.75,16175.35,16189.8,0
2016-04-04 15:15:00+05:30,16190.75,16194.35,16161.6,16188.65,0
2016-04-04 15:20:00+05:30,16189.05,16198.65,16184.05,16194.85,0
2016-04-04 15:25:00+05:30,16195.15,16206.9,16185.65,16190.6,0
2016-04-05 09:15:00+05:30,16127.45,16135.5,16074.05,16112.5,0
2016-04-05 09:20:00+05:30,16114.05,16133.3,16113.1,16124.6,0
2016-04-05 09:25:00+05:30,16125.55,16132.1,16109.85,16123.15,0
2016-04-05 09:30:00+05:30,16124.05,16132.65,16117.0,16123.3,0
2016-04-05 09:35:00+05:30,16125.8,16132.3,16115.0,16118.8,0
2016-04-05 09:40:00+05:30,16117.85,16130.85,16109.7,16112.2,0
2016-04-05 09:45:00+05:30,16111.0,16119.6,16096.9,16112.9,0
2016-04-05 09:50:00+05:30,16112.8,16124.3,16105.4,16123.85,0
2016-04-05 09:55:00+05:30,16120.65,16130.3,16109.95,16121.1,0
2016-04-05 10:00:00+05:30,16121.95,16122.8,16100.35,16117.0,0
2016-04-05 10:05:00+05:30,16116.6,16120.65,16107.55,16109.2,0
2016-04-05 10:10:00+05:30,16108.45,16111.05,16103.15,16103.95,0
2016-04-05 10:15:00+05:30,16105.5,16105.8,16075.95,16088.95,0
2016-04-05 10:20:00+05:30,16090.55,16092.6,16080.75,16086.95,0
2016-04-05 10:25:00+05:30,16084.9,16093.45,16082.15,16093.45,0
2016-04-05 10:30:00+05:30,16092.9,16094.6,16073.7,16085.75,0
2016-04-05 10:35:00+05:30,16085.95,16094.9,16082.7,16086.95,0
2016-04-05 10:40:00+05:30,16087.55,16090.6,16061.55,16075.2,0
2016-04-05 10:45:00+05:30,16074.0,16079.85,16040.3,16062.25,0
2016-04-05 10:50:00+05:30,16064.7,16092.3,16063.35,16080.5,0
2016-04-05 10:55:00+05:30,16081.0,16093.0,16077.45,16085.4,0
2016-04-05 11:00:00+05:30,16089.65,16147.15,15908.75,16021.8,0
2016-04-05 11:05:00+05:30,16023.75,16132.55,16023.75,16116.8,0
2016-04-05 11:10:00+05:30,16123.35,16144.9,16046.3,16046.3,0
2016-04-05 11:15:00+05:30,16046.55,16078.0,16019.05,16037.15,0
2016-04-05 11:20:00+05:30,16038.35,16038.9,15943.45,15966.2,0
2016-04-05 11:25:00+05:30,15967.55,15970.5,15881.6,15923.0,0
2016-04-05 11:30:00+05:30,15923.85,15944.1,15888.35,15943.2,0
2016-04-05 11:35:00+05:30,15944.55,15982.85,15942.4,15968.45,0
2016-04-05 11:40:00+05:30,15966.55,15975.4,15941.75,15973.95,0
2016-04-05 11:45:00+05:30,15974.05,15992.65,15960.8,15962.6,0
2016-04-05 11:50:00+05:30,15967.4,15967.4,15937.2,15941.1,0
2016-04-05 11:55:00+05:30,15940.9,15940.9,15894.3,15919.25,0
2016-04-05 12:00:00+05:30,15916.6,15916.6,15824.65,15857.2,0
2016-04-05 12:05:00+05:30,15859.9,15884.3,15842.15,15865.25,0
2016-04-05 12:10:00+05:30,15866.05,15899.35,15849.5,15892.2,0
2016-04-05 12:15:00+05:30,15891.75,15907.0,15886.55,15894.1,0
2016-04-05 12:20:00+05:30,15891.7,15897.6,15851.45,15863.7,0
2016-04-05 12:25:00+05:30,15864.15,15878.4,15850.2,15873.8,0
2016-04-05 12:30:00+05:30,15873.45,15873.45,15848.75,15857.85,0
2016-04-05 12:35:00+05:30,15857.5,15892.4,15851.75,15872.65,0
2016-04-05 12:40:00+05:30,15871.25,15881.4,15847.5,15853.7,0
2016-04-05 12:45:00+05:30,15852.2,15853.95,15820.75,15836.2,0
2016-04-05 12:50:00+05:30,15833.5,15859.75,15828.5,15855.8,0
2016-04-05 12:55:00+05:30,15853.8,15856.8,15828.25,15853.3,0
2016-04-05 13:00:00+05:30,15854.6,15856.1,15819.55,15824.15,0
2016-04-05 13:05:00+05:30,15821.8,15839.05,15820.35,15828.65,0
2016-04-05 13:10:00+05:30,15828.6,15856.15,15828.6,15854.5,0
2016-04-05 13:15:00+05:30,15854.65,15862.75,15846.65,15850.65,0
2016-04-05 13:20:00+05:30,15848.9,15851.45,15832.0,15837.6,0
2016-04-05 13:25:00+05:30,15837.3,15853.95,15816.7,15853.1,0
2016-04-05 13:30:00+05:30,15852.55,15852.55,15835.3,15847.75,0
2016-04-05 13:35:00+05:30,15847.4,15849.95,15830.15,15847.4,0
