date,open,high,low,close,volume
2025-12-08 09:15:00+05:30,59672.05,59713.15,59603.45,59648.2,0
2025-12-08 09:20:00+05:30,59634.6,59707.55,59592.65,59644.15,0
2025-12-08 09:25:00+05:30,59642.15,59642.4,59534.85,59575.5,0
2025-12-08 09:30:00+05:30,59577.0,59612.15,59541.85,59574.7,0
2025-12-08 09:35:00+05:30,59569.65,59576.95,59527.25,59558.65,0
2025-12-08 09:40:00+05:30,59551.5,59600.1,59536.85,59580.2,0
2025-12-08 09:45:00+05:30,59577.2,59581.8,59518.05,59536.4,0
2025-12-08 09:50:00+05:30,59538.6,59550.75,59509.05,59513.65,0
2025-12-08 09:55:00+05:30,59513.9,59542.8,59506.3,59519.55,0
2025-12-08 10:00:00+05:30,59522.4,59539.6,59467.15,59480.35,0
2025-12-08 10:05:00+05:30,59485.75,59529.65,59462.45,59507.7,0
2025-12-08 10:10:00+05:30,59506.6,59551.3,59496.85,59547.25,0
2025-12-08 10:15:00+05:30,59549.4,59620.65,59528.0,59552.4,0
2025-12-08 10:20:00+05:30,59551.0,59606.9,59538.5,59597.2,0
2025-12-08 10:25:00+05:30,59595.95,59610.15,59569.2,59580.45,0
2025-12-08 10:30:00+05:30,59581.95,59587.4,59521.0,59528.85,0
2025-12-08 10:35:00+05:30,59524.8,59543.45,59508.7,59534.25,0
2025-12-08 10:40:00+05:30,59528.45,59563.3,59528.45,59546.3,0
2025-12-08 10:45:00+05:30,59544.45,59562.15,59518.35,59529.0,0
2025-12-08 10:50:00+05:30,59530.35,59546.1,59499.35,59539.4,0
2025-12-08 10:55:00+05:30,59537.7,59567.85,59499.9,59510.5,0
2025-12-08 11:00:00+05:30,59509.9,59519.5,59454.0,59459.9,0
2025-12-08 11:05:00+05:30,59460.75,59463.95,59395.5,59417.75,0
2025-12-08 11:10:00+05:30,59417.4,59449.85,59406.75,59436.85,0
2025-12-08 11:15:00+05:30,59435.65,59436.05,59374.05,59387.95,0
2025-12-08 11:20:00+05:30,59388.6,59427.75,59379.6,59422.85,0
2025-12-08 11:25:00+05:30,59415.95,59430.2,59384.25,59392.2,0
2025-12-08 11:30:00+05:30,59393.0,59408.25,59346.4,59373.85,0
2025-12-08 11:35:00+05:30,59377.55,59396.45,59360.0,59378.0,0
2025-12-08 11:40:00+05:30,59377.95,59405.85,59356.55,59400.8,0
2025-12-08 11:45:00+05:30,59399.65,59445.15,59398.45,59441.3,0
2025-12-08 11:50:00+05:30,59440.05,59445.3,59401.2,59403.1,0
2025-12-08 11:55:00+05:30,59400.55,59426.05,59387.65,59421.75,0
